null,lib,egka,EGKA,GGKA,GSKV,GGKV,GSKA
45.899998,51.75,1207.349976,958.949951,2152.800049,112.949997,126,74.25
102.599998,61.649998,868.949951,617.399963,471.599976,87.299995,163.349991,138.599991
29.699999,126,1009.349976,3332.25,181.799988,30.15,109.799995,95.849998
43.649998,230.399994,5846.399902,2662.199951,234.899994,45.899998,158.849991,52.199997
265.949982,74.25,481.949982,1215.449951,127.799995,43.649998,85.5,62.099998
147.599991,93.599998,1431.449951,3821.399902,1805.849976,86.399994,156.599991,70.199997
68.849998,97.649994,904.049988,366.299988,197.099991,79.650002,90.449997,53.549999
136.349991,29.25,778.5,270.899994,390.599976,95.849998,35.549999,96.75
115.649994,109.349998,452.25,4072.049805,758.699951,44.549999,102.599998,43.199997
37.349998,60.299999,72.449997,1589.849976,1948.5,70.650002,94.5,61.199997
58.049999,58.949997,879.299988,1887.75,549.899963,59.399998,254.25,100.799995
60.75,100.349998,684.450012,1686.599976,274.949982,77.400002,118.799995,26.099998
71.099998,149.399994,570.149963,3939.75,522.899963,183.599991,88.649994,55.799999
79.199997,46.349998,378.899994,1174.949951,258.299988,84.150002,179.549988,182.699997
31.5,235.349991,859.949951,715.5,373.5,128.25,204.299988,183.149994
56.25,183.599991,1541.699951,1013.849976,318.149994,85.5,69.75,15.75
66.150002,74.25,823.949951,237.599991,244.349991,42.299999,223.649994,169.199997
37.349998,55.349998,702,2019.149902,862.199951,45.899998,75.150002,77.849998
101.699997,93.149994,447.299988,1113.299927,466.199982,84.150002,215.549988,72
47.25,56.699997,1039.949951,1698.299927,1446.75,103.949997,39.599998,159.300003
48.149998,75.599998,991.799988,4561.649902,553.5,73.349998,64.349998,42.75
89.549995,37.349998,1706.849976,1763.099976,1573.649902,305.100006,67.949997,93.599998
47.25,40.950001,981.449951,3427.199951,44.549999,148.050003,136.349991,36.450001
37.349998,70.650002,824.399963,469.349976,501.75,63.899998,80.099998,109.799995
184.949997,134.550003,457.199982,2212.649902,466.199982,80.549995,111.599998,244.349991
214.199997,88.649994,1402.199951,5013,488.699982,74.699997,57.599998,123.75
92.699997,102.599998,729.449951,3863.699951,363.149994,45.449997,48.149998,76.049995
77.400002,81.449997,410.849976,2978.099854,519.75,60.299999,139.949997,148.5
570.599976,270.899994,1028.699951,2762.099854,537.75,114.299995,53.549999,124.199997
156.599991,75.599998,1466.099976,1239.299927,3455.549805,67.949997,97.199997,50.849998
46.349998,57.149998,983.699951,1346.400024,338.399994,27.9,283.949982,46.349998
133.649994,110.25,295.649994,11508.75,381.599976,32.849998,61.649998,147.599991
66.150002,186.299988,1003.949951,420.75,345.149994,50.849998,53.549999,53.099998
86.399994,45.899998,1111.5,2066.849854,3523.049805,173.699997,169.199997,75.150002
130.050003,68.400002,756,714.149963,870.75,36.899998,58.949997,164.699997
160.649994,58.949997,1183.5,1045.349976,2752.649902,216,57.149998,65.699997
36.450001,162.899994,1277.099976,1085.400024,339.299988,153.449997,146.699997,99.449997
99.899994,134.550003,863.549988,213.75,473.399994,127.799995,73.799995,31.049999
68.849998,36.899998,827.099976,845.549988,217.799988,83.699997,185.399994,228.599991
118.799995,77.400002,531.899963,4572.449707,447.75,63.899998,172.799988,122.399994
100.799995,270.449982,801,2040.299927,1632.149902,62.099998,72.449997,160.199997
86.399994,144.899994,1891.799927,1158.75,374.849976,188.549988,70.199997,117.449997
57.149998,54.899998,1166.400024,1092.150024,52.649998,189.899994,181.799988,28.799999
103.5,76.5,788.849976,2672.099854,486,96.299995,128.699997,44.099998
157.5,83.25,578.25,3754.799805,440.099976,107.549995,99.449997,23.849998
73.349998,36,355.5,472.5,1579.949951,90,69.75,64.349998
54.449997,29.25,554.849976,3827.699951,648.899963,133.199997,58.5,175.949997
66.150002,197.099991,2080.349854,574.200012,2054.25,160.649994,118.799995,110.25
65.25,99,2043,1156.049927,2087.099854,151.199997,172.799988,79.650002
53.099998,47.699997,204.299988,759.599976,356.399994,38.700001,63,95.399994
73.799995,54.449997,509.849976,1962,2351.25,69.75,106.199997,128.699997
44.549999,126.899994,982.349976,4443.75,164.699997,138.149994,58.049999,84.599998
54.449997,29.25,303.299988,332.549988,192.599991,154.349991,83.25,59.849998
36,64.799995,589.950012,1588.5,583.200012,348.75,150.75,48.599998
117,63.449997,2461.949951,3211.649902,275.399994,291.149994,54.899998,115.649994
86.849998,177.75,583.649963,3610.349854,326.699982,71.549995,154.349991,97.199997
96.75,88.199997,787.5,3461.849854,533.700012,129.149994,57.149998,48.599998
40.950001,43.649998,836.549988,3360.149902,198.899994,250.649994,113.849998,53.549999
192.149994,44.549999,63.449997,1151.099976,1979.549927,33.75,116.099998,49.049999
35.099998,119.699997,116.099998,2891.25,155.25,127.799995,118.799995,71.549995
110.25,59.849998,236.25,3508.649902,650.25,84.150002,53.549999,42.75
121.5,136.800003,510.75,1959.75,270,69.75,223.199997,108.899994
139.050003,68.400002,1185.75,1083.599976,628.649963,63.899998,109.349998,778.949951
78.75,72,1072.799927,5140.799805,642.599976,131.849991,103.949997,176.849991
196.649994,91.349998,63.449997,1284.75,984.149963,30.15,302.850006,50.849998
140.399994,71.099998,1126.349976,1512,1192.049927,80.549995,117,239.399994
63,219.599991,122.849998,1358.099976,533.25,95.399994,203.849991,65.25
89.099998,66.150002,665.099976,5225.399902,1116.900024,109.799995,54.899998,91.349998
53.099998,41.399998,360.899994,2800.349854,516.149963,42.75,82.799995,22.049999
32.399998,144.449997,673.649963,2602.800049,1234.799927,54,133.649994,77.849998
111.149994,58.049999,1448.099976,4647.600098,128.699997,45,94.049995,143.099991
60.75,30.15,220.949997,550.349976,595.799988,41.849998,207.899994,26.099998
43.649998,166.5,328.5,3177,1827,53.099998,344.25,94.049995
56.699997,51.75,1562.399902,2254.5,2109.599854,33.299999,89.549995,92.699997
103.949997,58.049999,648,617.399963,1757.699951,70.199997,130.949997,86.399994
99.449997,249.75,521.549988,1017.899963,3404.25,121.949997,107.099998,96.75
45,60.75,330.75,504.449982,273.149994,45.449997,93.149994,80.549995
84.150002,76.5,769.049988,377.549988,1502.099976,85.049995,233.099991,129.599991
43.199997,130.050003,1136.25,3283.199951,427.049988,143.099991,127.799995,89.099998
44.549999,208.349991,252,1980.449951,1038.150024,66.599998,62.549999,49.049999
64.349998,91.349998,1602.449951,2513.699951,847.799988,82.799995,51.299999,28.349998
72,53.099998,190.349991,3577.5,829.799988,37.799999,195.75,54.449997
101.699997,81.900002,490.049988,2664.899902,595.799988,106.649994,113.399994,45.449997
37.799999,210.599991,2312.099854,1755.449951,229.049988,77.849998,97.199997,36
54,102.599998,225.899994,7925.399902,599.849976,38.700001,294.299988,146.699997
209.699997,167.849991,4789.350098,2044.349976,425.25,118.349998,137.25,132.75
20.25,73.799995,72,2365.649902,249.75,149.399994,248.849991,58.049999
102.599998,107.099998,594.899963,1178.549927,273.600006,86.399994,83.25,278.100006
67.049995,175.5,2499.75,1001.25,400.049988,92.25,62.099998,43.649998
40.950001,75.150002,445.5,774,507.599976,127.349998,50.399998,133.649994
91.349998,135.449997,158.849991,1355.400024,1050.299927,72.449997,58.049999,220.049988
130.949997,62.549999,1254.599976,6666.75,318.149994,92.25,160.649994,85.5
40.950001,364.5,1759.5,2011.949951,585,70.199997,166.050003,64.349998
49.5,155.699997,1003.5,1266.299927,327.600006,93.599998,70.199997,89.549995
70.650002,128.699997,993.149963,1434.149902,388.349976,81,114.75,154.349991
87.75,113.399994,79.199997,3370.049805,860.399963,85.049995,68.849998,48.149998
43.199997,42.75,625.5,1406.699951,969.299988,79.199997,208.349991,95.399994
63,89.099998,73.799995,823.5,169.199997,382.949982,57.149998,110.699997
69.75,40.049999,924.299988,1198.799927,1684.799927,72.449997,57.599998,159.300003
36,35.099998,477.449982,931.5,87.75,30.599998,118.349998,48.599998
51.299999,83.25,110.699997,1018.349976,549.450012,65.699997,68.400002,163.800003
41.849998,83.699997,682.200012,3418.649902,1899.449951,94.5,33.75,238.049988
81,52.649998,697.949951,6180.299805,990.899963,50.399998,161.550003,66.150002
53.549999,43.199997,6359.849609,4003.199951,6020.099609,202.5,78.75,140.399994
80.549995,80.099998,1310.849976,2138.849854,439.649994,92.25,109.349998,50.399998
81.449997,144.449997,130.050003,3347.099854,1269,68.400002,198.899994,302.399994
69.299995,77.400002,2334.149902,1193.400024,1140.75,42.299999,68.400002,180.899994
76.949997,90.449997,262.799988,2322,301.949982,62.549999,83.699997,28.799999
90,93.149994,1294.650024,2501.550049,201.599991,33.75,37.349998,76.5
64.349998,53.099998,1668.149902,1542.149902,580.5,73.349998,49.049999,185.399994
347.849976,67.5,267.299988,1291.949951,277.649994,150.75,55.799999,54
87.75,64.349998,1432.349976,459.899994,262.350006,293.399994,99,459
138.599991,47.25,879.75,414,283.949982,72.900002,82.799995,51.75
58.049999,91.349998,651.599976,1118.25,1326.150024,58.049999,130.5,114.75
147.149994,180.899994,1111.949951,3768.299805,625.950012,45.899998,47.699997,58.5
56.699997,63,1324.349976,3405.599854,578.700012,41.399998,56.25,58.049999
86.399994,45,1229.849976,1931.399902,1233.449951,166.050003,81.449997,93.599998
64.349998,29.699999,666,1267.650024,641.700012,71.549995,139.5,71.549995
60.299999,162.899994,1859.849976,1605.599976,283.949982,101.699997,123.299995,20.699999
175.049988,46.349998,581.399963,2286.899902,790.649963,64.349998,71.099998,50.849998
35.099998,86.399994,603,1208.699951,826.199951,73.349998,59.849998,52.649998
63.449997,72.449997,269.100006,1118.699951,450,47.25,74.25,199.349991
97.199997,73.349998,796.5,996.75,612.899963,173.25,56.699997,105.75
142.199997,35.099998,778.949951,1235.25,421.649994,31.949999,154.349991,31.949999
249.75,76.949997,1055.25,820.799988,1090.799927,35.099998,57.599998,76.5
50.399998,57.599998,1172.699951,1359,121.049995,53.549999,72.449997,62.549999
215.549988,122.849998,1026.449951,1140.75,166.5,31.5,70.199997,54.899998
72.900002,155.25,797.849976,1847.25,1648.799927,74.699997,62.099998,108
78.299995,50.849998,130.050003,1082.699951,124.649994,38.25,144,57.149998
45,117,1222.199951,877.949951,154.800003,60.299999,117,65.25
29.699999,47.25,716.399963,1944,180,57.149998,103.049995,56.699997
31.049999,60.75,2035.799927,1347.75,728.549988,34.649998,103.049995,105.75
45.899998,48.149998,245.25,3314.25,538.649963,107.099998,117.449997,181.349991
67.049995,70.199997,732.149963,261.899994,424.799988,66.599998,58.949997,85.5
225,53.549999,243.899994,1238.849976,407.699982,58.5,114.75,92.25
37.349998,91.799995,1064.25,2780.549805,1265.849976,66.150002,132.75,122.399994
116.099998,66.599998,3732.299805,865.349976,540.899963,73.799995,50.399998,354.599976
221.399994,78.299995,279.449982,2898.449951,515.25,30.15,65.699997,80.549995
38.700001,49.949997,601.200012,1336.049927,536.849976,147.149994,184.049988,62.099998
165.599991,60.299999,479.25,981.899963,154.349991,47.25,90.899994,71.099998
73.799995,72.449997,409.949982,1216.349976,1200.150024,442.349976,56.699997,123.299995
54.449997,74.699997,617.399963,1840.949951,1273.049927,49.049999,217.349991,45.899998
110.25,63.449997,478.349976,1851.299927,1512,163.349991,76.5,62.099998
28.799999,47.25,1027.349976,2290.050049,376.199982,53.099998,77.849998,104.399994
72,36,131.849991,3006.449951,931.5,78.299995,177.299988,230.849991
58.049999,63,567,1175.400024,477,39.599998,180.449997,17.1
55.799999,72,666.450012,3771.449951,1022.399963,121.949997,100.799995,137.25
80.099998,81,263.699982,2845.349854,948.149963,40.5,265.5,156.599991
47.699997,67.049995,1397.25,250.199997,1429.199951,48.149998,234,48.149998
57.149998,48.599998,544.049988,694.799988,1116.449951,100.799995,92.699997,139.949997
80.549995,41.849998,631.349976,4304.25,450.449982,202.049988,98.099998,102.599998
62.549999,54.899998,1015.649963,2695.050049,350.549988,94.5,155.699997,157.949997
90.449997,27,525.149963,1010.25,1005.75,85.049995,196.199997,92.25
90.449997,109.799995,483.299988,437.399994,1066.049927,96.299995,61.649998,83.699997
66.150002,50.399998,978.299988,1005.75,123.75,68.400002,79.650002,65.699997
64.799995,154.800003,826.199951,144.449997,895.049988,165.149994,62.099998,55.799999
105.299995,170.550003,1914.75,915.299988,1917.449951,35.549999,120.599998,40.950001
122.849998,50.399998,1696.5,2125.349854,1593,64.799995,195.75,50.849998
69.75,89.549995,1061.549927,2240.550049,977.399963,167.399994,74.699997,81.449997
48.599998,132.300003,1890,4132.350098,406.349976,51.75,84.150002,112.5
36.899998,45.449997,352.349976,3729.149902,332.549988,66.150002,42.299999,73.799995
46.799999,50.849998,1049.400024,2470.050049,1168.199951,226.349991,100.349998,221.849991
117.449997,140.849991,557.549988,1904.849976,275.399994,44.099998,60.75,161.550003
133.649994,171.449997,902.25,1078.199951,167.849991,73.349998,95.399994,115.199997
86.849998,59.849998,634.950012,2369.699951,2075.399902,85.949997,99.899994,90.449997
146.25,108.449997,1049.849976,391.949982,1998.899902,47.699997,61.199997,59.399998
86.399994,88.649994,2145.149902,1520.099976,882.449951,46.349998,108,157.050003
40.950001,289.350006,1642.949951,2241.449951,1059.299927,111.599998,60.299999,37.799999
68.849998,169.199997,1354.949951,1531.799927,369,335.699982,127.349998,126.449997
87.75,140.399994,2875.949951,2096.099854,147.149994,38.700001,87.299995,130.949997
68.849998,61.649998,682.649963,952.199951,497.699982,369,171,38.25
53.549999,146.699997,72,179.099991,176.399994,134.550003,67.949997,84.150002
89.549995,76.949997,935.549988,1012.5,211.5,88.649994,56.699997,67.5
23.4,67.049995,516.599976,1350.900024,2066.399902,47.699997,54,170.099991
105.299995,112.5,1068.299927,1113.299927,644.399963,63.899998,217.349991,65.25
49.949997,225,1525.049927,2599.199951,1680.299927,76.949997,116.549995,45.449997
84.599998,58.049999,463.049988,2051.099854,2191.5,66.599998,288,91.799995
34.200001,163.349991,581.399963,1363.049927,165.599991,74.699997,38.700001,137.699997
73.349998,379.349976,976.049988,1081.349976,81.449997,143.099991,69.299995,198.899994
40.049999,54,50.849998,918.899963,162.899994,74.25,41.399998,154.800003
229.5,61.199997,559.799988,2945.25,201.149994,135,30.15,31.049999
67.049995,106.649994,210.599991,1898.099976,655.649963,38.700001,149.849991,90.449997
50.849998,78.299995,1818.899902,1661.849976,218.25,82.349998,50.399998,36.899998
32.849998,45.899998,1567.349976,985.949951,426.149994,112.949997,130.5,66.150002
108.899994,131.399994,695.25,2808.449951,704.25,48.149998,106.649994,85.949997
46.349998,51.75,481.5,5183.549805,429.299988,185.399994,85.5,67.5
115.649994,90.899994,118.799995,857.699951,780.299988,132.300003,67.049995,32.849998
36.899998,88.199997,382.049988,474.75,279,46.349998,110.25,65.699997
143.550003,54.449997,1698.299927,1997.099976,1016.099976,34.649998,91.349998,81.449997
65.25,27.9,614.25,5017.5,501.299988,42.75,162.899994,81.449997
248.849991,114.299995,1137.150024,353.25,1509.299927,216.899994,73.349998,89.549995
104.399994,51.299999,1761.299927,1489.049927,785.25,221.399994,55.799999,204.299988
121.5,156.599991,508.5,1796.849976,244.349991,81.900002,94.949997,70.199997
83.25,89.099998,9613.349609,1368.449951,211.5,110.25,81.900002,33.75
68.849998,157.5,1475.549927,883.349976,699.75,87.299995,286.649994,34.649998
70.199997,38.700001,1165.949951,831.149963,166.949997,36.899998,40.5,234.899994
144.899994,101.699997,193.949997,1529.099976,509.399994,76.949997,63.449997,164.25
431.549988,148.050003,993.149963,1211.400024,454.949982,179.099991,62.099998,134.550003
93.599998,162.449997,615.599976,778.5,609.299988,68.849998,75.150002,53.549999
72.900002,55.349998,406.349976,787.5,189,64.799995,124.199997,94.049995
123.75,43.649998,363.149994,7650.899902,862.649963,53.099998,94.049995,48.599998
86.849998,78.299995,4554.899902,2909.25,2985.299805,40.5,58.049999,50.399998
144.449997,190.799988,733.949951,664.649963,857.25,187.199997,133.649994,77.400002
257.850006,40.049999,2267.550049,585.450012,159.75,40.5,78.299995,83.699997
47.699997,52.649998,1113.75,1338.75,557.549988,75.599998,29.699999,60.299999
36.450001,85.949997,239.399994,1227.150024,851.849976,52.649998,48.599998,67.5
54.899998,90.899994,1177.199951,1331.549927,236.25,52.649998,64.349998,119.699997
190.799988,84.150002,945.899963,1185.299927,440.099976,66.599998,90.899994,252
91.349998,146.25,561.149963,1538.549927,610.649963,45,76.5,57.599998
434.25,111.599998,967.5,1047.150024,235.349991,62.549999,52.199997,67.5
224.549988,189.899994,2340.899902,1149.75,744.299988,131.399994,53.099998,72
135.899994,29.25,104.849998,3132,1934.099976,89.099998,54.899998,59.849998
42.75,86.399994,1547.549927,1477.349976,212.849991,61.199997,46.349998,242.099991
110.25,90,911.25,2663.099854,3535.199951,95.849998,188.549988,131.399994
53.549999,80.099998,476.549988,3916.799805,489.599976,61.199997,90.899994,94.5
29.699999,121.949997,3531.599854,340.199982,299.25,78.299995,88.649994,56.699997
91.799995,152.099991,3152.25,3140.549805,346.049988,72.900002,110.699997,114.299995
31.949999,123.299995,412.199982,3609.899902,388.799988,52.199997,55.799999,14.4
169.649994,39.599998,930.149963,1779.299927,829.799988,155.25,61.199997,75.150002
55.349998,54,662.849976,1184.400024,87.75,86.399994,40.950001,49.049999
545.849976,124.199997,1141.199951,687.149963,1187.549927,154.349991,40.5,70.650002
69.299995,61.199997,743.399963,1839.599976,1147.5,162.449997,157.5,44.549999
48.149998,198.449997,1616.399902,2601.899902,2187.449951,80.549995,91.799995,49.5
319.5,68.849998,1770.299927,919.799988,420.75,62.549999,94.5,45.899998
128.25,82.799995,4716.449707,3156.299805,322.649994,93.149994,23.4,20.699999
78.299995,90.899994,157.5,2272.949951,296.100006,124.199997,72,36.899998
100.349998,191.25,389.699982,4121.549805,525.149963,61.649998,83.25,135.899994
99,51.75,1202.849976,1404.899902,270.899994,49.949997,63.899998,65.25
151.199997,43.649998,493.649994,3147.299805,688.5,47.699997,71.099998,138.149994
118.799995,74.699997,639.450012,1133.099976,111.599998,164.25,120.599998,309.600006
120.149994,60.299999,1569.599976,2134.349854,480.149994,54.899998,171.449997,128.25
47.25,84.599998,1180.799927,5046.75,568.799988,112.049995,36.450001,209.25
139.5,81.900002,387.449982,3677.849854,1044.449951,85.5,111.149994,92.699997
147.599991,83.699997,2713.050049,245.25,512.099976,88.649994,61.199997,122.849998
110.25,154.349991,2523.599854,176.399994,450,134.099991,79.650002,60.299999
177.75,93.599998,326.25,294.75,251.549988,139.5,74.699997,74.699997
133.199997,144,704.699951,1075.5,973.349976,102.599998,29.699999,47.25
249.299988,107.099998,488.699982,2157.75,60.75,166.050003,206.549988,113.399994
91.799995,29.699999,826.199951,1104.299927,1171.799927,157.050003,180,77.400002
107.099998,45.449997,2823.75,1368.449951,566.549988,61.199997,58.049999,44.549999
23.849998,167.849991,381.149994,6941.25,1134,38.25,35.099998,67.049995
153,80.549995,194.399994,3000.599854,922.949951,44.099998,88.649994,53.099998
105.299995,36.450001,692.099976,3266.099854,93.149994,51.75,56.699997,71.099998
85.949997,72.900002,576.899963,4035.599854,340.649994,52.649998,239.399994,55.349998
79.650002,62.099998,155.25,193.5,539.549988,186.75,145.349991,81.900002
119.699997,49.949997,1556.549927,2093.399902,504.899994,55.799999,65.699997,53.099998
63.899998,196.649994,1076.400024,738.449951,1797.75,40.5,121.049995,45.899998
63.899998,40.049999,711.899963,1330.199951,1410.299927,59.849998,161.550003,75.150002
26.099998,76.5,1758.149902,1740.149902,87.75,130.5,97.199997,32.849998
30.599998,162,1032.299927,2321.550049,83.25,82.799995,169.649994,72
90.899994,95.399994,513.899963,1160.549927,83.25,78.299995,307.799988,156.599991
74.25,57.599998,172.349991,2161.800049,433.799988,160.649994,72.449997,58.5
132.75,138.599991,2491.649902,1108.349976,2383.649902,228.149994,83.25,58.049999
139.050003,148.949997,753.75,5018.850098,446.399994,35.549999,116.099998,71.549995
54.899998,50.849998,759.599976,4216.949707,405.899994,53.099998,115.199997,148.949997
75.599998,28.349998,963.899963,1738.799927,1300.949951,207.899994,92.25,103.049995
127.349998,88.649994,850.949951,990.449951,912.599976,58.949997,61.199997,126.899994
45,187.649994,168.75,3735,902.699951,68.849998,73.799995,57.599998
32.849998,72,1377.449951,838.799988,597.599976,95.399994,63,180.449997
31.049999,68.400002,1649.25,1297.349976,1278.900024,133.199997,63,41.399998
113.399994,58.049999,216.899994,477,591.75,159.75,113.849998,130.050003
57.599998,75.599998,613.799988,335.699982,1314.449951,48.599998,130.050003,59.849998
164.25,88.649994,852.75,1214.549927,617.399963,40.950001,155.25,231.75
44.549999,93.599998,549,1185.75,272.25,144.899994,48.149998,56.699997
54.899998,111.149994,1781.099976,715.5,110.25,82.799995,107.099998,141.75
301.5,217.349991,202.049988,1360.349976,523.799988,292.5,142.199997,136.349991
137.699997,51.75,3391.649902,1936.799927,629.099976,43.199997,59.849998,56.699997
172.799988,97.199997,820.349976,744.299988,812.25,390.599976,27,72.449997
32.399998,232.199997,462.149994,2424.149902,184.949997,51.75,83.25,113.849998
18.9,196.649994,280.799988,1125.449951,312.299988,175.049988,186.75,39.149998
102.599998,42.299999,373.949982,1006.649963,116.099998,179.549988,67.049995,159.75
94.949997,59.849998,1408.5,3180.149902,120.599998,219.599991,60.75,51.75
177.75,59.849998,129.599991,1515.149902,1081.799927,409.5,130.949997,49.049999
52.649998,180.899994,847.799988,3622.5,490.5,62.549999,127.349998,94.5
136.349991,66.599998,1197,616.049988,425.699982,51.299999,105.299995,160.199997
37.349998,75.150002,1309.049927,1449.449951,1349.549927,77.849998,55.349998,773.549988
27.9,47.699997,1510.199951,1282.949951,330.75,236.25,120.149994,72
153.899994,216.899994,535.5,2026.349976,381.149994,162,63.449997,33.299999
69.299995,115.199997,1682.549927,722.25,570.149963,82.799995,187.199997,60.299999
82.349998,83.699997,764.549988,491.399994,1602.899902,124.199997,146.25,97.199997
202.049988,40.950001,377.099976,2133.899902,1186.199951,78.299995,148.5,384.299988
42.299999,74.25,744.299988,4929.75,636.299988,37.799999,56.25,126.899994
76.049995,80.099998,392.399994,3027.599854,337.049988,55.349998,131.399994,49.5
48.149998,42.299999,916.649963,3144.599854,508.949982,63,36.899998,82.799995
71.549995,157.5,120.599998,2103.300049,270.899994,36.899998,70.650002,103.949997
379.349976,207,595.349976,5941.799805,359.549988,77.400002,43.649998,32.849998
108,90.899994,801,1170.900024,1336.949951,65.25,82.799995,147.149994
379.349976,175.949997,366.299988,394.649994,291.149994,63,102.599998,53.099998
72.449997,67.949997,646.200012,6015.599609,1216.799927,130.949997,81,70.199997
41.399998,143.550003,205.199997,358.649994,1321.650024,44.099998,214.199997,41.399998
328.5,104.849998,1253.25,2864.25,1378.349976,198,123.299995,202.949997
191.699997,60.299999,595.349976,2226.149902,1317.599976,63,74.699997,47.699997
90.449997,82.799995,734.849976,2966.849854,641.25,94.5,109.349998,130.5
27,40.049999,1242.449951,688.5,202.949997,71.549995,219.599991,48.149998
88.199997,209.699997,1144.799927,141.300003,523.799988,112.5,176.849991,75.150002
45.899998,61.199997,520.200012,5483.699707,427.5,129.599991,179.099991,77.400002
342.899994,66.150002,321.299988,918,161.099991,160.199997,112.949997,81.449997
116.549995,222.299988,836.099976,897.75,304.649994,46.799999,24.299999,171.449997
30.15,99.899994,282.149994,2735.099854,233.549988,60.299999,70.199997,106.199997
69.75,159.75,766.349976,7299.449707,372.149994,58.949997,96.299995,123.75
78.299995,219.149994,1282.949951,4714.199707,234.899994,89.099998,71.549995,108.899994
54,67.949997,1676.25,708.75,701.549988,108.899994,37.349998,55.799999
65.699997,127.349998,1831.049927,1706.849976,320.850006,82.799995,76.5,166.949997
55.799999,41.399998,667.349976,9847.799805,1930.5,193.049988,58.5,50.849998
102.599998,26.549999,450,2051.550049,327.149994,45.899998,85.049995,66.150002
149.849991,44.549999,842.849976,2355.300049,1957.949951,87.299995,73.349998,44.549999
100.799995,81.900002,662.399963,1380.150024,1314,178.649994,225.899994,83.699997
70.199997,57.599998,686.700012,2150.550049,417.599976,115.649994,63.899998,85.5
